provider,country,count,provider_category,classification_source
Polytechnic University of Valencia,Spain,55663,academic/research institution,provider_name
Spanish National Research Council,Spain,54947,academic/research institution,provider_name
Image and Sound Archive of Menorca,Spain,52640,library/archive,provider_name
Regira. Cooperative Repository of Diputació de Girona,Spain,51534,library/archive,provider_name
Postal Cabinet Museum of Barcelona (Marull’s Collection),Spain,49300,art/history museum,provider_name
Biblioteca Diputación de Almería,Spain,47192,library/archive,provider_name
Tomás Navarro Tomás Library,Spain,38509,library/archive,provider_name
Museum of Costume. Ethnological Heritage Research Centre,Spain,35754,art/history museum,provider_name
Patrimonio Digital de Castilla-La Mancha,Spain,32589,library/archive,manual_override
Toledo Municipal Archives,Spain,32360,library/archive,provider_name
Virtual Library of Bibliographical Heritage,Spain,31208,library/archive,provider_name
Autonomous University of Barcelona,Spain,29038,academic/research institution,provider_name
Andalusian Performing Arts Research and Resource Center,Spain,28062,academic/research institution,provider_name
Library of the Bar Association of Madrid,Spain,27660,library/archive,provider_name
Library of Asturias,Spain,25427,library/archive,provider_name
Repositorio Institucional del Banco de España,Spain,23655,library/archive,provider_name
